"id","country_id:id","name","code"
city_vn_89,base.vn,An Giang,89
city_vn_74,base.vn,Bình Dương,74
city_vn_52,base.vn,Bình Định,52
city_vn_24,base.vn,Bắc Giang,24
city_vn_06,base.vn,Bắc Kạn,06
city_vn_95,base.vn,Bạc Liêu,95
city_vn_27,base.vn,Bắc Ninh,27
city_vn_70,base.vn,Bình Phước,70
city_vn_77,base.vn,Bà Rịa - Vũng Tàu,77
city_vn_60,base.vn,Bình Thuận,60
city_vn_83,base.vn,Bến Tre,83
city_vn_04,base.vn,Cao Bằng,04
city_vn_96,base.vn,Cà Mau,96
city_vn_92,base.vn,TP Cần Thơ,92
city_vn_11,base.vn,Điện Biên,11
city_vn_66,base.vn,Đắk Lắk,66
city_vn_48,base.vn,TP Đà Nẵng,48
city_vn_75,base.vn,Đồng Nai,75
city_vn_67,base.vn,Đắk Nông,67
city_vn_87,base.vn,Đồng Tháp,87
city_vn_64,base.vn,Gia Lai,64
city_vn_17,base.vn,Hoà Bình,17
city_vn_79,base.vn,TP Hồ Chí Minh,79
city_vn_30,base.vn,Hải Dương,30
city_vn_93,base.vn,Hậu Giang,93
city_vn_02,base.vn,Hà Giang,02
city_vn_01,base.vn,Hà Nội,01
city_vn_35,base.vn,Hà Nam,35
city_vn_31,base.vn,TP Hải Phòng,31
city_vn_42,base.vn,Hà Tĩnh,42
city_vn_33,base.vn,Hưng Yên,33
city_vn_91,base.vn,Kiên Giang,91
city_vn_56,base.vn,Khánh Hòa,56
city_vn_62,base.vn,Kon Tum,62
city_vn_80,base.vn,Long An,80
city_vn_10,base.vn,Lào Cai,10
city_vn_12,base.vn,Lai Châu,12
city_vn_68,base.vn,Lâm Đồng,68
city_vn_20,base.vn,Lạng Sơn,20
city_vn_40,base.vn,Nghệ An,40
city_vn_37,base.vn,Ninh Bình,37
city_vn_36,base.vn,Nam Định,36
city_vn_58,base.vn,Ninh Thuận,58
city_vn_25,base.vn,Phú Thọ,25
city_vn_54,base.vn,Phú Yên,54
city_vn_44,base.vn,Quảng Bình,44
city_vn_22,base.vn,Quảng Ninh,22
city_vn_49,base.vn,Quảng Nam,49
city_vn_51,base.vn,Quảng Ngãi,51
city_vn_45,base.vn,Quảng Trị,45
city_vn_14,base.vn,Sơn La,14
city_vn_94,base.vn,Sóc Trăng,94
city_vn_34,base.vn,Thái Bình,34
city_vn_82,base.vn,Tiền Giang,82
city_vn_38,base.vn,Thanh Hóa,38
city_vn_19,base.vn,Thái Nguyên,19
city_vn_72,base.vn,Tây Ninh,72
city_vn_08,base.vn,Tuyên Quang,08
city_vn_46,base.vn,Thừa Thiên - Huế,46
city_vn_84,base.vn,Trà Vinh,84
city_vn_86,base.vn,Vĩnh Long,86
city_vn_26,base.vn,Vĩnh Phúc,26
city_vn_15,base.vn,Yên Bái,15
