"id","transfer_fee","city_id:id","name","code"
district_vn_016,,city_vn_01,Huyện Sóc Sơn,016
district_vn_017,,city_vn_01,Huyện Đông Anh,017
district_vn_018,,city_vn_01,Huyện Gia Lâm,018
district_vn_019,,city_vn_01,Quận Nam Từ Liêm,019
district_vn_344,,city_vn_34,Huyện Vũ Thư,344
district_vn_819,,city_vn_82,Huyện Cái Bè,819
district_vn_347,,city_vn_35,Thành phố Phủ Lý,347
district_vn_340,,city_vn_34,Huyện Đông Hưng,340
district_vn_341,,city_vn_34,Huyện Thái Thụy,341
district_vn_342,,city_vn_34,Huyện Tiền Hải,342
district_vn_343,,city_vn_34,Huyện Kiến Xương,343
district_vn_349,,city_vn_35,Huyện Duy Tiên,349
district_vn_816,,city_vn_82,Thị xã Gò Công,816
district_vn_817,,city_vn_82,Thị xã Cai Lậy,817
district_vn_719,,city_vn_74,Huyện Bàu Bàng,719
district_vn_718,,city_vn_74,Thành phố Thủ Dầu Một,718
district_vn_712,,city_vn_72,Huyện Trảng Bàng,712
district_vn_711,,city_vn_72,Huyện Bến Cầu,711
district_vn_710,,city_vn_72,Huyện Gò Dầu,710
district_vn_914,,city_vn_91,Huyện Giang Thành,914
district_vn_917,,city_vn_92,Quận Ô Môn,917
district_vn_594,,city_vn_60,Thị xã La Gi,594
district_vn_736,,city_vn_75,Huyện Định Quán,736
district_vn_916,,city_vn_92,Quận Ninh Kiều,916
district_vn_911,,city_vn_91,Huyện Phú Quốc,911
district_vn_910,,city_vn_91,Huyện Vĩnh Thuận,910
district_vn_913,,city_vn_91,Huyện U Minh Thượng,913
district_vn_298,,city_vn_30,Huyện Tứ Kỳ,298
district_vn_299,,city_vn_30,Huyện Ninh Giang,299
district_vn_296,,city_vn_30,Huyện Bình Giang,296
district_vn_297,,city_vn_30,Huyện Gia Lộc,297
district_vn_294,,city_vn_30,Huyện Thanh Hà,294
district_vn_295,,city_vn_30,Huyện Cẩm Giàng,295
district_vn_292,,city_vn_30,Huyện Kinh Môn,292
district_vn_293,,city_vn_30,Huyện Kim Thành,293
district_vn_290,,city_vn_30,Thị xã Chí Linh,290
district_vn_291,,city_vn_30,Huyện Nam Sách,291
district_vn_593,,city_vn_60,Thành phố Phan Thiết,593
district_vn_199,,city_vn_22,Huyện Tiên Yên,199
district_vn_198,,city_vn_22,Huyện Bình Liêu,198
district_vn_597,,city_vn_60,Huyện Hàm Thuận Bắc,597
district_vn_596,,city_vn_60,Huyện Bắc Bình,596
district_vn_195,,city_vn_22,Thành phố Cẩm Phả,195
district_vn_194,,city_vn_22,Thành phố Móng Cái,194
district_vn_196,,city_vn_22,Thành phố Uông Bí,196
district_vn_193,,city_vn_22,Thành phố Hạ Long,193
district_vn_271,,city_vn_01,Huyện Ba Vì,271
district_vn_272,,city_vn_01,Huyện Phúc Thọ,272
district_vn_273,,city_vn_01,Huyện Đan Phượng,273
district_vn_274,,city_vn_01,Huyện Hoài Đức,274
district_vn_275,,city_vn_01,Huyện Quốc Oai,275
district_vn_276,,city_vn_01,Huyện Thạch Thất,276
district_vn_277,,city_vn_01,Huyện Chương Mỹ,277
district_vn_278,,city_vn_01,Huyện Thanh Oai,278
district_vn_279,,city_vn_01,Huyện Thường Tín,279
district_vn_738,,city_vn_75,Huyện Thống Nhất,738
district_vn_524,,city_vn_51,Huyện Bình Sơn,524
district_vn_525,,city_vn_51,Huyện Trà Bồng,525
district_vn_526,,city_vn_51,Huyện Tây Trà,526
district_vn_527,,city_vn_51,Huyện Sơn Tịnh,527
district_vn_522,,city_vn_51,Thành phố Quảng Ngãi,522
district_vn_599,,city_vn_60,Huyện Tánh Linh,599
district_vn_528,,city_vn_51,Huyện Tư Nghĩa,528
district_vn_529,,city_vn_51,Huyện Sơn Hà,529
district_vn_449,,city_vn_42,Thị xã Kỳ Anh,449
district_vn_448,,city_vn_42,Huyện Lộc Hà,448
district_vn_443,,city_vn_42,Huyện Can Lộc,443
district_vn_442,,city_vn_42,Huyện Nghi Xuân,442
district_vn_441,,city_vn_42,Huyện Vũ Quang,441
district_vn_440,,city_vn_42,Huyện Đức Thọ,440
district_vn_447,,city_vn_42,Huyện Kỳ Anh,447
district_vn_446,,city_vn_42,Huyện Cẩm Xuyên,446
district_vn_445,,city_vn_42,Huyện Thạch Hà,445
district_vn_444,,city_vn_42,Huyện Hương Khê,444
district_vn_108,,city_vn_12,Huyện Sìn Hồ,108
district_vn_109,,city_vn_12,Huyện Phong Thổ,109
district_vn_102,,city_vn_11,Huyện Mường Ảng,102
district_vn_103,,city_vn_11,Huyện Nậm Pồ,103
district_vn_100,,city_vn_11,Huyện Điện Biên,100
district_vn_101,,city_vn_11,Huyện Điện Biên Đông,101
district_vn_106,,city_vn_12,Huyện Tam Đường,106
district_vn_107,,city_vn_12,Huyện Mường Tè,107
district_vn_105,,city_vn_12,Thành phố Lai Châu,105
district_vn_902,,city_vn_91,Huyện Kiên Lương,902
district_vn_903,,city_vn_91,Huyện Hòn Đất,903
district_vn_900,,city_vn_91,Thị xã Hà Tiên,900
district_vn_906,,city_vn_91,Huyện Giồng Riềng,906
district_vn_907,,city_vn_91,Huyện Gò Quao,907
district_vn_904,,city_vn_91,Huyện Tân Hiệp,904
district_vn_905,,city_vn_91,Huyện Châu Thành,905
district_vn_908,,city_vn_91,Huyện An Biên,908
district_vn_909,,city_vn_91,Huyện An Minh,909
district_vn_601,,city_vn_60,Huyện Hàm Tân,601
district_vn_643,,city_vn_66,Thành phố Buôn Ma Thuột,643
district_vn_645,,city_vn_66,Huyện Ea H'leo,645
district_vn_644,,city_vn_66,Thị Xã Buôn Hồ,644
district_vn_647,,city_vn_66,Huyện Buôn Đôn,647
district_vn_439,,city_vn_42,Huyện Hương Sơn,439
district_vn_436,,city_vn_42,Thành phố Hà Tĩnh,436
district_vn_437,,city_vn_42,Thị xã Hồng Lĩnh,437
district_vn_432,,city_vn_40,Thị xã Hoàng Mai,432
